week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
48th week,Gujarat,Gandhi Nagar,Acute Diarrhoeal Disease,-0.09019249,-0.152088036,24,11,2014,23.06016515,72.58063822,-0.740513413,0,0.196213012
22nd week,Gujarat,Gandhi Nagar,Cholera,-0.101693227,-0.152088036,25,5,2015,23.06016515,72.58063822,-0.740550654,0,2.214108173
22nd week,Gujarat,Gandhi Nagar,Cholera,-0.111916105,-0.152088036,25,5,2015,23.06016515,72.58063822,-0.740550654,0,2.214108173
14th week,Gujarat,Gandhi Nagar,Acute Diarrhoeal Disease,-0.069746734,-0.152088036,24,3,2016,23.06016515,72.58063822,-0.740644112,-0.712332001,1.15682716
17th week,Gujarat,Gandhi Nagar,Cholera,-0.086358911,-0.152088036,25,4,2016,23.06016515,72.58063822,-0.740713983,-0.857724251,1.677496178
18th week,Gujarat,Gandhi Nagar,Cholera,-0.069746734,-0.152088036,25,4,2016,23.06016515,72.58063822,-0.740713983,-0.857724251,1.677496178
19th week,Gujarat,Gandhi Nagar,Cholera,0.010758428,-0.152088036,6,5,2016,23.06016515,72.58063822,-0.715679027,-0.857724251,1.925722106
22nd week,Gujarat,Gandhi Nagar,Acute Diarrhoeal Disease,-0.094026069,-0.152088036,3,6,2016,23.06016515,72.58063822,-0.728001306,-1.003116501,1.301121103
24th week,Gujarat,Gandhi Nagar,Cholera,-0.022465924,-0.152088036,20,5,2017,23.06016515,72.58063822,-0.740680329,-0.857724251,2.230454758
24th week,Gujarat,Gandhi Nagar,Cholera,-0.109360386,-0.152088036,12,6,2019,23.06016515,72.58063822,-0.740652605,-1.003116501,1.67648714
27th week,Gujarat,Gandhi Nagar,Cholera,-0.105526807,-0.152088036,3,7,2021,23.06016515,72.58063822,-0.699248643,0,0.205294449
27th week,Gujarat,Gandhi Nagar,Acute Diarrhoeal Disease,-0.086358911,-0.152088036,8,7,2021,23.06016515,72.58063822,-0.723499737,-0.712332001,0.692664867
14th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,0.006924849,-0.152088036,2,4,2010,23.2232877,72.6492267,-0.740672156,-0.857724251,1.471145783
25th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,-0.096581788,-0.152088036,17,6,2010,23.2232877,72.6492267,-0.664085269,0,1.698686197
26th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,0.033759903,-0.152088036,20,6,2010,23.2232877,72.6492267,-0.657978348,-1.003116501,0.894474574
32nd week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,-0.097859648,-0.152088036,28,7,2010,23.2232877,72.6492267,2.708713709,0,0
3rd week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,-0.092748209,-0.152088036,26,12,2010,23.2232877,72.6492267,-0.740726803,0,-0.450587077
28th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,-0.036522381,0.1855301,11,6,2012,23.2232877,72.6492267,-0.737892292,-1.003116501,0.871266449
28th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,-0.033966662,-0.152088036,6,7,2012,23.2232877,72.6492267,-0.157675681,-1.148508752,1.749138631
16th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,-0.096581788,-0.152088036,12,4,2013,23.2232877,72.6492267,-0.735340052,-0.857724251,1.492436696
18th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,-0.097859648,-0.152088036,27,4,2013,23.2232877,72.6492267,-0.701130917,-0.857724251,1.576086806
21st week,Gujarat,Gandhinagar,Cholera,-0.002020169,0.523148237,14,5,2013,23.2232877,72.6492267,-0.740662862,-0.857724251,1.924713067
25th week,Gujarat,Gandhinagar,Cholera,-0.09147035,-0.152088036,20,6,2013,23.2232877,72.6492267,0.289072007,-0.857724251,-0.157963006
25th week,Gujarat,Gandhinagar,Cholera,-0.104248947,-0.152088036,20,6,2013,23.2232877,72.6492267,0.289072007,-0.857724251,-0.157963006
24th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,-0.096581788,-0.152088036,8,6,2014,23.2232877,72.6492267,-0.737608415,-1.003116501,1.735516476
12th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,-0.069746734,-0.152088036,24,3,2016,23.2232877,72.6492267,-0.740644112,-0.712332001,1.15682716
23rd week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,-0.077413893,-0.152088036,5,6,2016,23.2232877,72.6492267,-0.737740187,-1.003116501,1.719876215
26th week,Gujarat,Gandhinagar,Cholera,-0.097859648,-0.152088036,2,7,2016,23.2232877,72.6492267,0.287692759,0,1.746111485
33rd week,Gujarat,Gandhinagar,Cholera,-0.046745259,-0.152088036,9,8,2016,23.2232877,72.6492267,0.55605374,-1.148508752,0
32nd week,Gujarat,Gandhinagar,Cholera,-0.046745259,-0.152088036,10,8,2016,23.2232877,72.6492267,0.844596163,-1.148508752,0
42nd week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,12,10,2016,23.2232877,72.6492267,-0.056601039,0.305413752,-0.332780656
22nd week,Gujarat,Gandhinagar,Cholera,0.015869867,-0.152088036,26,5,2017,23.2232877,72.6492267,-0.732239741,-0.857724251,1.449451231
25th week,Gujarat,Gandhinagar,Cholera,0.128321523,-0.152088036,14,6,2017,23.2232877,72.6492267,-0.605504108,-0.857724251,0.865212158
10th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,6,3,2022,23.2232877,72.6492267,-0.740652285,0,0.432330358
43rd week,Gujarat,Gir Somnath,Malaria,-0.008409468,-0.152088036,10,9,2015,20.9911049,70.68806405,-0.6547623,1.468551755,-0.191766141
22nd week,Gujarat,Gir Somnath,Dengue,-0.097859648,-0.152088036,24,5,2017,20.9911049,70.68806405,-0.73740593,0,1.685064042
53rd week,Gujarat,Jamnagar,Cholera,0.307221884,-0.152088036,19,12,2010,22.4732415,70.0552102,-0.740701323,0,-0.391053206
27th week,Gujarat,Jamnagar,Cholera,-0.111916105,-0.152088036,27,6,2011,22.4732415,70.0552102,-0.642098723,-1.293901002,0.485305403
18th week,Gujarat,Jamnagar,Chikungunya,-0.04418954,-0.152088036,8,4,2012,22.4732415,70.0552102,-0.740720073,-1.003116501,2.159619555
24th week,Gujarat,Jamnagar,Chikungunya,-0.100415368,-0.152088036,2,6,2012,22.4732415,70.0552102,-0.737207558,-1.293901002,1.384872138
4th week,Gujarat,Jamnagar,Acute Diarrhoeal Disease,-0.099137508,-0.152088036,22,1,2013,22.4732415,70.0552102,-0.670469082,-1.003116501,-0.478234995
23rd week,Gujarat,Jamnagar,Dengue,-0.100415368,-0.152088036,5,6,2013,22.4732415,70.0552102,-0.539257268,-1.293901002,1.732792045
14th week,Gujarat,Jamnagar,Acute Diarrhoeal Disease,-0.096581788,-0.152088036,3,4,2016,22.4732415,70.0552102,-0.740371613,-1.293901002,1.893230755
21st week,Gujarat,Jamnagar,Cholera,-0.053134558,-0.152088036,22,5,2016,22.4732415,70.0552102,-0.740254608,-1.293901002,2.568284191
7th week,Gujarat,Jamnagar,Acute Diarrhoeal Disease,-0.065913155,-0.152088036,13,2,2020,22.4732415,70.0552102,-0.740695874,-0.130762999,-0.229605459
25th week,Gujarat,Junagadh,Malaria,-0.073580313,-0.152088036,16,6,2009,21.5174104,70.4642754,-0.734596815,-1.148508752,1.221809893
38th week,Gujarat,Junagadh,Acute Diarrhoeal Disease,-0.094026069,-0.152088036,10,9,2010,21.5174104,70.4642754,0.322370146,-0.857724251,-0.406188934
42nd week,Gujarat,Junagadh,Acute Diarrhoeal Disease,-0.036522381,-0.152088036,8,10,2010,21.5174104,70.4642754,-0.740590225,0,0.489240692
43rd week,Gujarat,Junagadh,Acute Diarrhoeal Disease,0.068262116,-0.152088036,12,10,2010,21.5174104,70.4642754,-0.671541787,0.886982753,0.278551369
49th week,Gujarat,Junagadh,Acute Diarrhoeal Disease,-0.079969612,-0.152088036,29,11,2010,21.5174104,70.4642754,-0.555663178,-0.130762999,-0.38197177
1st week,Gujarat,Junagadh,Acute Diarrhoeal Disease,-0.079969612,-0.152088036,14,12,2010,21.5174104,70.4642754,-0.740674881,-0.130762999,-0.511533595
1st week,Gujarat,Junagadh,Acute Diarrhoeal Disease,0.010758428,-0.152088036,14,12,2010,21.5174104,70.4642754,-0.740674881,-0.130762999,-0.511533595
11th week,Gujarat,Junagadh,Acute Diarrhoeal Disease,-0.09019249,-0.152088036,8,3,2011,21.5174104,70.4642754,-0.74058525,-0.56693975,0.881861458
47th week,Gujarat,Junagadh,Dengue,0.32511192,1.536002646,15,11,2012,21.5174104,70.4642754,-0.740505666,0,1.141893253
51st week,Gujarat,Junagadh,Dengue,-0.049300979,-0.152088036,1,12,2015,21.5174104,70.4642754,-0.739526006,-0.4215475,0.060496001
22nd week,Gujarat,Junagadh,Dengue,-0.083803191,-0.152088036,3,6,2016,21.5174104,70.4642754,-0.721650114,-1.003116501,1.164395024
15th week,Gujarat,Junagadh,Chikungunya,-0.036522381,-0.152088036,4,4,2017,21.5174104,70.4642754,-0.740620394,-0.857724251,2.370308878
14th week,Gujarat,Junagadh,Dengue,-0.028855223,-0.152088036,6,4,2017,21.5174104,70.4642754,-0.74016664,0,2.077886627
22nd week,Gujarat,Junagadh,Chikungunya,-0.096581788,-0.152088036,1,6,2017,21.5174104,70.4642754,-0.707625565,0,1.451267518
18th week,Gujarat,Junagadh,Chikungunya,-0.051856698,-0.152088036,30,4,2018,21.5174104,70.4642754,-0.740354536,0,2.718834215
23rd week,Gujarat,Junagadh,Acute Diarrhoeal Disease,-0.081247472,-0.152088036,6,6,2022,21.5174104,70.4642754,-0.739430219,-1.003116501,1.725526896
36th week,Gujarat,Junagarh,Acute Diarrhoeal Disease,-0.059523856,-0.152088036,21,8,2010,21.25,70.333333,-0.223377596,0,-0.18218017
13th week,Gujarat,Junagarh,Chikungunya,-0.085081051,-0.152088036,20,3,2017,21.25,70.333333,-0.740555165,-0.857724251,1.520286434
12th week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.071024594,-0.152088036,21,3,2010,22.75,72.833333,-0.740734496,0,1.744597913
23rd week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.076136033,0.1855301,1,6,2010,22.75,72.833333,-0.738896611,0,1.947719373
23rd week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.100415368,-0.152088036,9,6,2010,22.75,72.833333,-0.541927394,0,1.264038572
26th week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.083803191,-0.152088036,25,6,2010,22.75,72.833333,-0.719199433,0,0.917682669
41st week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.102971087,0.523148237,26,9,2010,22.75,72.833333,-0.708030249,0.450806002,-0.136772988
5th week,Gujarat,Kheda,Acute Diarrhoeal Disease,0.008202709,-0.152088036,29,1,2011,22.75,72.833333,-0.740686099,-0.130762999,-0.559059779
12th week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.081247472,-0.152088036,22,3,2011,22.75,72.833333,-0.740726483,0,1.37679974
17th week,Gujarat,Kheda,Chikungunya,-0.08891463,-0.152088036,19,4,2011,22.75,72.833333,-0.737974925,-0.857724251,1.751661242
23rd week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.076136033,0.1855301,1,6,2011,22.75,72.833333,-0.74041402,0,1.95952524
23rd week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.100415368,-0.152088036,9,6,2011,22.75,72.833333,-0.707962943,0,1.106778365
3rd week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.060801716,-0.152088036,17,1,2012,22.75,72.833333,-0.737591683,0,-0.855720034
17th week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.081247472,-0.152088036,28,4,2012,22.75,72.833333,-0.740677124,-0.712332001,1.677496178
18th week,Gujarat,Kheda,Chikungunya,-0.027577363,-0.152088036,3,5,2012,22.75,72.833333,-0.740681451,-0.857724251,1.90604566
18th week,Gujarat,Kheda,Chikungunya,-0.064635295,-0.152088036,4,5,2012,22.75,72.833333,-0.740709015,-0.857724251,1.968102142
14th week,Gujarat,Kheda,Chikungunya,-0.035244522,-0.152088036,3,4,2013,22.75,72.833333,-0.740676804,-0.857724251,1.404044049
29th week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,17,7,2013,22.75,72.833333,1.727529467,-1.293901002,0
34th week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.096581788,-0.152088036,23,8,2013,22.75,72.833333,-0.569422122,-0.130762999,-0.442514679
39th week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.060801716,-0.152088036,28,9,2013,22.75,72.833333,3.319921716,-0.857724251,0
17th week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.097859648,0.1855301,23,4,2014,22.75,72.833333,-0.707380414,0,1.369534591
29th week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.073580313,-0.152088036,15,7,2014,22.75,72.833333,-0.62558413,-1.439293252,1.727948613
40th week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.096581788,-0.152088036,30,9,2014,22.75,72.833333,-0.702777381,0,0.07462266
31st week,Gujarat,Kheda,Acute Diarrhoeal Disease,0.133432962,0.1855301,31,7,2015,22.75,72.833333,5.136934845,-1.293901002,0
32nd week,Gujarat,Kheda,Acute Diarrhoeal Disease,0.160268016,-0.152088036,31,7,2015,22.75,72.833333,5.136934845,-1.293901002,0
4th week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.099137508,-0.152088036,30,1,2016,22.75,72.833333,-0.740683855,-0.27615525,-0.476317813
7th week,Gujarat,Kheda,Acute Gastroenteritis,-0.082525331,-0.152088036,16,2,2016,22.75,72.833333,-0.74066174,-0.27615525,-0.582267904
12th week,Gujarat,Kheda,Cholera,-0.008409468,-0.152088036,23,3,2016,22.75,72.833333,-0.740635779,-0.712332001,1.157836229
18th week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.019910205,-0.152088036,4,5,2016,22.75,72.833333,-0.723538594,-0.857724251,1.977183578
26th week,Gujarat,Kheda,Cholera,-0.065913155,-0.152088036,1,7,2016,22.75,72.833333,0.274634663,-1.003116501,1.746111485
32nd week,Gujarat,Kheda,Cholera,-0.014798766,0.1855301,9,8,2016,22.75,72.833333,0.55605374,-1.148508752,0
38th week,Gujarat,Kheda,Acute Diarrhoeal Disease,0.015869867,-0.152088036,24,9,2016,22.75,72.833333,-0.699948226,0.741590503,0.073613621
43rd week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.048023119,-0.152088036,29,10,2016,22.75,72.833333,-0.740707252,-0.130762999,0.354633614
28th week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.055690277,-0.152088036,16,7,2017,22.75,72.833333,8.361708025,-1.148508752,-0.136772988
49th week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.083803191,-0.152088036,8,12,2017,22.75,72.833333,-0.290289979,-0.857724251,-1.218977488
50th week,Gujarat,Kheda,Cholera,-0.110638245,-0.152088036,13,12,2017,22.75,72.833333,-0.733353383,-0.712332001,-0.650630929
21st week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.083803191,-0.152088036,27,5,2018,22.75,72.833333,-0.740660939,-1.003116501,2.212291886
29th week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.09019249,-0.152088036,20,7,2018,22.75,72.833333,1.611459717,0,-2.131661843
21st week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.04291168,-0.152088036,25,5,2019,22.75,72.833333,-0.740645234,0,1.978192647
30th week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.09019249,-0.152088036,24,7,2019,22.75,72.833333,-0.457755123,-0.857724251,1.114951658
26th week,Gujarat,Kheda,Cholera,-0.100415368,-0.152088036,29,6,2021,22.75,72.833333,-0.668548842,-0.56693975,0.453520376
27th week,Gujarat,Kheda,Cholera,-0.100415368,-0.152088036,14,7,2021,22.75,72.833333,-0.299255205,-0.857724251,1.080139485
12th week,Gujarat,Kheda,Acute Diarrhoeal Disease,-0.08891463,-0.152088036,23,3,2022,22.75,72.833333,-0.740631131,-0.712332001,1.074589729
33rd week,Gujarat,Kutch,Chikungunya,0.110431487,-0.152088036,6,8,2010,23.583333,70,0.589408133,-0.857724251,-1.526232752
34th week,Gujarat,Kutch,Chikungunya,0.332779079,-0.152088036,6,8,2010,23.583333,70,0.589408133,-0.857724251,-1.526232752
19th week,Gujarat,Kutch,Acute Diarrhoeal Disease,0.013314148,-0.152088036,13,5,2011,23.583333,70,-0.740339184,-1.148508752,1.795050347
13th week,Gujarat,Kutch,Acute Diarrhoeal Disease,-0.049300979,-0.152088036,30,3,2012,23.583333,70,-0.740613343,-1.003116501,1.211315778
34th week,Gujarat,Kutch,Acute Diarrhoeal Disease,-0.071024594,-0.152088036,22,8,2012,23.583333,70,-0.722905465,-1.293901002,1.269336076
41st week,Gujarat,Kutch,Acute Diarrhoeal Disease,-0.094026069,0.1855301,8,10,2012,23.583333,70,-0.740676163,-0.56693975,1.520589149
21st week,Gujarat,Mahesana,Acute Diarrhoeal Disease,-0.060801716,-0.152088036,18,5,2011,23.6015557,72.3867981,-0.73756312,-0.712332001,1.765283397
21st week,Gujarat,Mahesana,Acute Diarrhoeal Disease,0.036315623,-0.152088036,18,5,2011,23.6015557,72.3867981,-0.73756312,-0.712332001,1.765283397
19th week,Gujarat,Mahesana,Acute Diarrhoeal Disease,-0.097859648,-0.152088036,8,5,2014,23.6015557,72.3867981,-0.728676382,0,1.923502209
21st week,Gujarat,Mahesana,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,24,5,2014,23.6015557,72.3867981,-0.739013727,0,2.117441338
27th week,Gujarat,Mahesana,Acute Diarrhoeal Disease,-0.077413893,-0.152088036,5,7,2014,23.6015557,72.3867981,-0.673424539,-1.003116501,1.124033094
30th week,Gujarat,Mahesana,Acute Diarrhoeal Disease,-0.056968137,-0.152088036,24,7,2014,23.6015557,72.3867981,1.129282936,-1.148508752,0
25th week,Gujarat,Mahesana,Acute Diarrhoeal Disease,-0.100415368,-0.152088036,20,6,2015,23.6015557,72.3867981,-0.610670653,-0.857724251,1.062733399
40th week,Gujarat,Mahesana,Acute Diarrhoeal Disease,-0.064635295,-0.152088036,7,10,2016,23.6015557,72.3867981,0.8855694,0,-0.330510297
43rd week,Gujarat,Mahesana,Chikungunya,-0.078691752,-0.152088036,27,10,2016,23.6015557,72.3867981,-0.740722316,0.014629251,0.35412911
44th week,Gujarat,Mahesana,Chikungunya,-0.097859648,-0.152088036,2,11,2016,23.6015557,72.3867981,-0.740607253,-0.130762999,0.50044113
12th week,Gujarat,Mahesana,Chikungunya,-0.09019249,-0.152088036,23,3,2017,23.6015557,72.3867981,-0.740673599,-0.56693975,0.933322931
28th week,Gujarat,Mahesana,Acute Diarrhoeal Disease,-0.037800241,-0.152088036,11,7,2017,23.6015557,72.3867981,-0.56375202,0,0.903051476
44th week,Gujarat,Mahesana,Acute Diarrhoeal Disease,-0.04163382,-0.152088036,3,11,2017,23.6015557,72.3867981,-0.740689464,-0.27615525,0.462601812
1st week,Gujarat,Mahesana,Acute Diarrhoeal Disease,-0.097859648,-0.152088036,1,1,2019,23.6015557,72.3867981,-0.740586514,-0.56693975,-0.985887288
24th week,Gujarat,Mahesana,Acute Diarrhoeal Disease,-0.096581788,-0.152088036,13,6,2019,23.6015557,72.3867981,-0.664487021,-0.857724251,1.978697151
42nd week,Gujarat,Mahesana,Acute Diarrhoeal Disease,0.206270966,-0.152088036,15,10,2019,23.6015557,72.3867981,-0.723798565,0,0.499936596
4th week,Gujarat,Mahesana,Acute Diarrhoeal Disease,-0.055690277,-0.152088036,24,1,2020,23.6015557,72.3867981,-0.740667189,0,-1.038357799
14th week,Gujarat,Mehsana,Chikungunya,-0.019910205,-0.152088036,3,4,2013,23.6015557,72.3867981,-0.740676804,-0.712332001,1.348041858
23rd week,Gujarat,Mehsana,Acute Diarrhoeal Disease,-0.078691752,-0.152088036,1,6,2013,23.6015557,72.3867981,-0.73264729,0,1.678908856
4th week,Gujarat,Mehsana,Acute Diarrhoeal Disease,-0.065913155,-0.152088036,21,1,2015,23.6015557,72.3867981,-0.740220714,0.014629251,-1.062574963
9th week,Gujarat,Mehsana,Acute Diarrhoeal Disease,-0.08763677,-0.152088036,21,2,2015,23.6015557,72.3867981,-0.740658855,-0.130762999,0.08420863
2nd week,Gujarat,Mehsana,Acute Diarrhoeal Disease,-0.09019249,-0.152088036,13,1,2016,23.6015557,72.3867981,-0.740727605,-0.130762999,-0.542410479
25th week,Gujarat,Morbi,Acute Diarrhoeal Disease,0.012036288,-0.152088036,12,6,2015,22.8176662,70.8345928,-0.65146124,-1.293901002,1.620182235
50th week,Gujarat,Morbi,Acute Diarrhoeal Disease,0.031204184,-0.152088036,25,11,2016,22.8176662,70.8345928,-0.740670554,-0.857724251,0.464115385
44th week,Gujarat,Morbi,Chikungunya,-0.08891463,-0.152088036,10,10,2017,22.8176662,70.8345928,-0.740640746,-0.27615525,0.822327587
29th week,Gujarat,Morbi,Acute Diarrhoeal Disease,-0.054412418,-0.152088036,15,7,2018,22.8176662,70.8345928,-0.472214137,-1.439293252,1.452478376
51st week,Gujarat,Morbi,Acute Diarrhoeal Disease,0.129599383,-0.152088036,9,12,2019,22.8176662,70.8345928,-0.740667669,-0.27615525,-0.439487534
24th week,Gujarat,Morbi,Acute Diarrhoeal Disease,-0.056968137,-0.152088036,11,6,2021,22.8176662,70.8345928,-0.708817839,-1.148508752,0.716377496
43rd week,Gujarat,Narmada,Cholera,-0.063357436,0.1855301,15,10,2010,21.8678464,73.5025585,-0.583307224,0,0.341515994
1st week,Gujarat,Narmada,Acute Diarrhoeal Disease,-0.092748209,-0.152088036,29,12,2010,21.8678464,73.5025585,-0.740561746,-0.27615525,-0.372890334
15th week,Gujarat,Narmada,Chikungunya,-0.092748209,-0.152088036,4,4,2012,21.8678464,73.5025585,-0.740656131,-0.857724251,1.704740487
30th week,Gujarat,Narmada,Acute Diarrhoeal Disease,-0.08763677,-0.152088036,25,7,2013,21.8678464,73.5025585,0.351724258,-1.439293252,0
36th week,Gujarat,Narmada,Acute Diarrhoeal Disease,-0.09147035,-0.152088036,2,9,2014,21.8678464,73.5025585,0.997454323,-0.857724251,-0.369863188
26th week,Gujarat,Narmada,Cholera,-0.094026069,-0.152088036,24,6,2015,21.8678464,73.5025585,-0.442475839,-0.56693975,0.51709043
24th week,Gujarat,Narmada,Cholera,-0.060801716,0.1855301,13,6,2016,21.8678464,73.5025585,-0.733542749,-0.857724251,1.328970842
14th week,Gujarat,Narmada,Acute Diarrhoeal Disease,-0.08891463,0.1855301,2,4,2018,21.8678464,73.5025585,-0.740659496,-0.712332001,1.80614986
28th week,Gujarat,Narmada,Acute Diarrhoeal Disease,-0.073580313,-0.152088036,14,7,2018,21.8678464,73.5025585,0.915803601,-1.439293252,0
18th week,Gujarat,Navsari,Acute Diarrhoeal Disease,0.013314148,-0.152088036,1,5,2010,20.952407,72.9323831,-0.740672797,0,2.038735556
22nd week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.039078101,-0.152088036,27,5,2010,20.952407,72.9323831,-0.73759072,-0.857724251,0.573597156
26th week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.04418954,-0.152088036,24,6,2010,20.952407,72.9323831,-0.703405719,-0.857724251,0.54433474
27th week,Gujarat,Navsari,Cholera,0.207548826,-0.152088036,24,6,2010,20.952407,72.9323831,-0.703405719,-0.857724251,0.54433474
37th week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.017354486,-0.152088036,4,9,2010,20.952407,72.9323831,1.973707649,-0.857724251,-1.904625934
39th week,Gujarat,Navsari,Acute Diarrhoeal Disease,0.000535551,-0.152088036,4,9,2010,20.952407,72.9323831,1.973707649,-0.857724251,-1.904625934
11th week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.076136033,-0.152088036,21,2,2011,20.952407,72.9323831,-0.739454652,-1.003116501,0.049093743
19th week,Gujarat,Navsari,Malaria,-0.077413893,-0.152088036,27,4,2011,20.952407,72.9323831,-0.740555388,-1.003116501,1.096788785
20th week,Gujarat,Navsari,Malaria,-0.086358911,-0.152088036,16,5,2011,20.952407,72.9323831,-0.740279225,0,1.101329503
21st week,Gujarat,Navsari,Malaria,-0.072302454,-0.152088036,16,5,2011,20.952407,72.9323831,-0.740279225,0,1.101329503
27th week,Gujarat,Navsari,Cholera,-0.054412418,-0.152088036,3,7,2011,20.952407,72.9323831,-0.499158145,0,0.344543139
30th week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.08891463,-0.152088036,11,7,2011,20.952407,72.9323831,1.590605208,0,0
35th week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.068468875,-0.152088036,29,8,2011,20.952407,72.9323831,2.219094067,0,0
27th week,Gujarat,Navsari,Cholera,-0.002020169,-0.152088036,8,7,2012,20.952407,72.9323831,0.209532295,-1.293901002,0
27th week,Gujarat,Navsari,Cholera,-0.072302454,-0.152088036,28,6,2013,20.952407,72.9323831,0.147781515,-1.003116501,-0.436460388
41st week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,8,10,2013,20.952407,72.9323831,-0.281795599,0,-0.295698124
48th week,Gujarat,Navsari,Malaria,0.017147727,0.1855301,25,11,2013,20.952407,72.9323831,-0.740669753,0,0.178050139
32nd week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.053134558,-0.152088036,8,8,2014,20.952407,72.9323831,0.084815895,-0.857724251,-1.044916625
20th week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.055690277,-0.152088036,11,5,2015,20.952407,72.9323831,-0.74069315,-0.857724251,1.235028438
26th week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.092748209,-0.152088036,26,6,2015,20.952407,72.9323831,1.448508012,0,0
29th week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.079969612,-0.152088036,12,7,2015,20.952407,72.9323831,-0.537735729,0,-0.48186757
29th week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.086358911,-0.152088036,14,7,2015,20.952407,72.9323831,-0.564764987,-0.857724251,-0.68165917
14th week,Gujarat,Navsari,Malaria,0.032482044,-0.152088036,4,4,2016,20.952407,72.9323831,-0.740700201,-1.148508752,1.224231609
26th week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.097859648,-0.152088036,1,7,2016,20.952407,72.9323831,0.676792694,-1.003116501,-0.418297515
29th week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.079969612,-0.152088036,20,7,2016,20.952407,72.9323831,0.088791473,-1.148508752,-0.584790515
29th week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.096581788,-0.152088036,23,7,2016,20.952407,72.9323831,-0.162332715,-1.148508752,0
30th week,Gujarat,Navsari,Acute Diarrhoeal Disease,0.106597908,-0.152088036,23,7,2016,20.952407,72.9323831,-0.162332715,-1.148508752,0
42nd week,Gujarat,Navsari,Chikungunya,-0.059523856,-0.152088036,23,10,2016,20.952407,72.9323831,-0.740740745,0,0.148787723
50th week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.063357436,-0.152088036,13,12,2016,20.952407,72.9323831,-0.740686099,-0.857724251,0.10792126
30th week,Gujarat,Navsari,Cholera,-0.053134558,-0.152088036,27,7,2017,20.952407,72.9323831,1.204779795,0,0
10th week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.078691752,-0.152088036,8,3,2018,20.952407,72.9323831,-0.740695554,-1.148508752,0.587925634
17th week,Gujarat,Navsari,Acute Diarrhoeal Disease,-0.085081051,-0.152088036,22,4,2018,20.952407,72.9323831,-0.740651323,0,1.176503605
